strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco
12RA1949.fna	Bacillus anthracis	2012-XX-XX	Germany	Stendal	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA656733	SAMN15801192	GCA_017813995.1	Contig	40	64	52.990538	11.679493	99.43	0.86	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	222078	222078	0.000%	64
14RA5914_2021.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA656733	SAMN15801194	GCA_017963445.1	Scaffold	43	106	51.2016	11.83572	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	130337	111564	0.002%	105
14RA5914_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370840	GCA_029694425.1	Contig	122	154	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	97.9	1.3	0.6	0.1	778	11	141554	141554	0.000%	154
14RA5914.fna	Bacillus anthracis	2014-04-16	Germany	Dobichau	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA397960	SAMN07498358	GCA_002277915.1	Complete	100	3	51.1999277	11.8331395	99.43	0.86	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	5245242	5245242	0.000%	3
14RA5915_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370841	GCA_029694405.1	Contig	117	139	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	97.6	1.7	0.6	0.1	778	11	128564	128564	0.000%	139
14RA5915.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Kidney	A.Br.081_(Ames)	PRJNA656733	SAMN15801195	GCA_017963435.1	Scaffold	48	55	51.2016	11.83572	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	292998	292998	0.002%	54
14RA5916_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370842	GCA_029694245.1	Contig	116	162	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	97.7	1.5	0.6	0.1	778	11	95510	95510	0.000%	162
14RA5916.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Synovia	A.Br.081_(Ames)	PRJNA656733	SAMN15801196	GCA_017963425.1	Scaffold	49	74	51.2016	11.83572	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	216708	216708	0.002%	73
17OD930.fna	Bacillus anthracis	2017-05-15	Switzerland	Kanton-of-Jura	Bos taurus	Placenta	B.Br.004_(FrenchB)	PRJNA454788	SAMN09041402	GCA_006088855.1	Complete	600	3	47.42	7.08	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5213297	5213297	0.000%	3
188678-1.fna	Bacillus anthracis	1993-XX-XX	Netherlands	Netherlands	Bos taurus		A.Br.093	PRJNA695105	SAMN18241471	GCA_022221145.1	Complete	78	3	52.2434979	5.6343227	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228516	5228516	0.000%	3
2.fna	Bacillus anthracis	2025-06-24	Tajikistan	Levakant Town	Bos taurus	meat sample		JBSXXK01	SAMN54103154	GCA_054165285.1	Complete Genome	46	3			98.57	0.48	clinical	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5229389	5229389	0.000%	3
2000031006.fna	Bacillus anthracis	1956-10-16	USA	New Mexico			A.Br.020	PRJNA264742	SAMN03165110	GCA_000782875.1	Scaffold	51	93	34.5708167	-105.993007	99.43	0.29	unknown	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	450699	165793	0.007%	75
2000031008.fna	Bacillus anthracis	20XX-XX-XX	USA	Alabama			A.Br.054	PRJNA264742	SAMN03165111	GCA_000793525.1	Scaffold	44	80	33.2588817	-86.8295337	99.4	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	1162570	126814	0.029%	37
2000031021.fna	Bacillus anthracis	20XX-XX-XX	USA	Louisiana		Soil	C.Br.002	PRJNA243523	SAMN02736984	GCA_000742655.1	Complete	303	2	30.8703881	-92.007126	98.85	0.29	environment	NCBI	bacillus_odb12	99	98.2	0.8	0.8	0.3	778	11	5236981	5236981	0.000%	2
2000031023.fna	Bacillus anthracis	1957-05-04			Bos taurus		A.Br.066	PRJNA264742	SAMN03165112	GCA_000782885.1	Scaffold	50	95			99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1013593	109814	0.048%	33
2000031027.fna	Bacillus anthracis	1957-08-20	USA	Oklahoma	Bos taurus		A.Br.099	PRJNA264742	SAMN03165113	GCA_000782895.1	Scaffold	64	93	34.9550817	-97.2684063	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	432432	168445	0.028%	51
2000031031.fna	Bacillus anthracis	1957-06-03	USA	Massachusetts	Homo sapiens		A.Br.057	PRJNA264742	SAMN03165114	GCA_000782955.1	Scaffold	84.2	68	42.3788774	-72.032366	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.6	0	778	11	919979	323384	0.015%	44
2000031038.fna	Bacillus anthracis	1957-06-03					A.Br.054	PRJNA264742	SAMN03165124	GCA_000793565.1	Scaffold	68.5	96			99.43	0.29	unknown	NCBI	bacillus_odb12	98.6	97.8	0.8	1.3	0.1	778	11	1162251	182776	0.035%	42
2000031039.fna	Bacillus anthracis	1957-05-04			Bos taurus		A.Br.066	PRJNA264742	SAMN03165116	GCA_000782975.1	Scaffold	77.8	91			99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	918175	121450	0.047%	34
2000031052.fna	Bacillus anthracis	1956-06-27	USA	Wyoming	Bos taurus		C.Br.001	PRJNA264742	SAMN03165117	GCA_000782995.1	Scaffold	83.1	90	43.1700264	-107.568534	99.43	0	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	596780	186652	0.022%	54
2000031055.fna	Bacillus anthracis	1957-XX-XX	USA	USA			A.Br.170	PRJNA514245	SAMN03565954	GCA_029702445.1	Contig	88	44	39.7837304	-100.445882	99.25	0.86	unknown	NCBI	bacillus_odb12	98.5	96.3	2.2	1	0.5	778	11	727787	727787	0.000%	44
2000031075.fna	Bacillus anthracis	20XX-XX-XX	South Africa	South Africa	Bos taurus		A.Br.077	PRJNA264742	SAMN03165118	GCA_000783015.1	Scaffold	48	144	-28.8166236	24.991639	99.43	0.29	clinical	NCBI	bacillus_odb12	99	98.2	0.8	0.9	0.1	778	11	565655	88210	0.076%	46
2000031709.fna	Bacillus anthracis	1956-05-25	USA	USA			A.Br.052	PRJNA264742	SAMN03165119	GCA_000783035.1	Scaffold	103.1	82	39.7837304	-100.445882	99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.8	0	778	11	1161725	205245	0.030%	35
2000031765.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165120	GCA_000783055.1	Scaffold	90.2	93			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	1124399	228046	0.038%	43
2000032065.fna	Bacillus anthracis	2001-XX-XX	USA	Texas	Bos taurus		A.Br.001	PRJNA514245	SAMN08557804	GCA_029694505.1	Contig	891	52	31.2638905	-98.5456116	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.2	2.1	0.6	0.1	778	11	302455	302455	0.000%	52
2000032819.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165121	GCA_000783075.1	Scaffold	66.5	113			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	1350671	116619	0.055%	45
2000032832.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165122	GCA_000793545.1	Scaffold	72.2	87			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	918510	128764	0.037%	36
2000032839.fna	Bacillus anthracis	1976-XX-XX	USA	Texas		Soil	B.Br.008_(KrugerB)	PRJNA514245	SAMN08557805	GCA_029694525.1	Contig	90	36	31.2638905	-98.5456116	99.3	4.09	environment	NCBI	bacillus_odb12	99.1	93.7	5.4	0.5	0.4	778	11	905673	905673	0.000%	36
2000032879.fna	Bacillus anthracis	1962-04-19					A.Br.076	PRJNA264742	SAMN03165123	GCA_000783095.1	Scaffold	87.7	100			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1162464	128855	0.040%	53
2000032892.fna	Bacillus anthracis	20XX-XX-XX					A.Br.049	PRJNA264742	SAMN03165115	GCA_000782905.1	Scaffold	99.2	104			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.6	0.6	0.6	0.1	778	11	919875	160271	0.043%	48
2000032945.fna	Bacillus anthracis	20XX-XX-XX	USA	USA	Capra aegagrus hircus		A.Br.165	PRJNA514245	SAMN03565955	GCA_029702385.1	Contig	140	59	39.7837304	-100.445882	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	344594	344594	0.000%	59
2000032951.fna	Bacillus anthracis	1958-06-30			Homo sapiens		A.Br.060	PRJNA264742	SAMN03165125	GCA_000783115.1	Scaffold	71.9	92			99.43	0.29	clinical	NCBI	bacillus_odb12	98.8	98.1	0.8	0.9	0.3	778	11	898864	186958	0.022%	56
2000032967.fna	Bacillus anthracis	20XX-XX-XX					A.Br.060	PRJNA264742	SAMN03165126	GCA_000783135.1	Scaffold	74.8	88			99.43	0.29	unknown	NCBI	bacillus_odb12	99.1	98.3	0.8	0.8	0.1	778	11	596579	182645	0.018%	62
2000032968.fna	Bacillus anthracis	20XX-XX-XX					A.Br.060	PRJNA264742	SAMN03165127	GCA_000783155.1	Scaffold	48.2	114			98.82	0.29	unknown	NCBI	bacillus_odb12	97.9	97.2	0.8	1.2	0.9	778	11	120630	110390	0.013%	90
2000032975.fna	Bacillus anthracis	1966-04-01					A.Br.078	PRJNA264742	SAMN03165128	GCA_000783165.1	Scaffold	57.1	69			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	702508	239311	0.017%	51
2000032979.fna	Bacillus anthracis	20XX-XX-XX	USA	New Jersey			A.Br.080	PRJNA264742	SAMN03165129	GCA_000783195.1	Scaffold	62.5	83	40.0757384	-74.4041622	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	514334	172368	0.031%	54
2000032989.fna	Bacillus anthracis	20XX-XX-XX					A.Br.150	PRJNA264742	SAMN03165130	GCA_000783215.1	Scaffold	47	81			99.43	0.29	unknown	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	898741	229796	0.016%	53
2002013094_1956.fna	Bacillus anthracis	1956-12-11	USA	USA		Soil	C.Br.002	PRJNA238050	SAMN03174509	GCA_000832965.1	Complete	473	3	39.7837304	-100.445882	99.43	0.29	environment	NCBI	bacillus_odb12	99.5	98.7	0.8	0.5	0	778	11	5321900	5321900	0.000%	3
2002013094_2014.fna	Bacillus anthracis	1956-12-11					C.Br.002	PRJNA264742	SAMN03165131	GCA_000783235.1	Scaffold	164.1	122	25.029422	-77.3619559849668	99.43	0.29	unknown	NCBI	bacillus_odb12	99.6	98.8	0.8	0.4	0	778	11	565935	95760	0.043%	63
2002734279.fna	Bacillus anthracis	1976-XX-XX	USA	Texas		Soil	B.Br.008_(KrugerB)	PRJNA514245	SAMN08557806	GCA_029694545.1	Contig	78	38	31.2638905	-98.5456116	99.43	0.86	environment	NCBI	bacillus_odb12	98.8	97.2	1.7	0.5	0.6	778	11	726959	726959	0.000%	38
2016.AZ.3512.1.7.fna	Bacillus anthracis	2016-XX-XX	Italy	Italy	Capra aegagrus hircus	Blood	A.Br.140_(L1)	PRJNA514245	SAMN13220234	GCA_029695525.1	Contig	110	69	42.6384261	12.674297	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.6	1.8	0.5	0.1	778	11	340005	340005	0.000%	69
21_1088-3.fna	Bacillus anthracis	2021-10-27	Spain	Villanueva de la Serena	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005110	GCA_029692445.1	Contig	67	59	38.99362	-5.736556	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	614074	614074	0.000%	59
21_890-8.fna	Bacillus anthracis	2021-09-13	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005088	GCA_029692525.1	Contig	182	66	39.151944	-5.502931	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	97.7	1.7	0.5	0.1	778	11	404128	404128	0.000%	66
21_890-9.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005089	GCA_029692585.1	Contig	80	72	39.1685	-5.4921	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	403600	403600	0.000%	72
21_891-2.fna	Bacillus anthracis	2021-09-13	Spain	Navalvillar de Pela	Equus caballus caballus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005090	GCA_029692555.1	Contig	70	67	39.0759	-5.4301	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.5	0.9	0.5	0.1	778	11	263426	263426	0.000%	67
21_903-6.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005092	GCA_029692605.1	Contig	87	61	39.1685	-5.4921	99.43	1.44	clinical	NCBI	bacillus_odb12	99.4	98.2	1.2	0.5	0.1	778	11	586226	586226	0.000%	61
21_905-13.fna	Bacillus anthracis	2021-09-10	Spain	Navalvillar de Pela	Sus scrofa domesticus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005093	GCA_029692625.1	Contig	81	64	39.1685	-5.4921	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	565112	565112	0.000%	64
21_918-3.fna	Bacillus anthracis	2021-09-20	Spain	Talarrubias	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005094	GCA_029692245.1	Contig	88	64	39.1456	-5.2265	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	621669	621669	0.000%	64
21_926-9.fna	Bacillus anthracis	2021-09-24	Spain	Navalvillar de Pela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005101	GCA_029692345.1	Contig	53	80	39.0663	-5.4621	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.3	1	0.5	0.1	778	11	216446	216446	0.000%	80
21_940-19.fna	Bacillus anthracis	20XX-XX-XX	Spain	Navalvillar de Pela	Sus scrofa		A.Br.11.ESPc	PRJNA514245	SAMN33005106	GCA_029692385.1	Contig	162	60	39.0916315	-5.4681268	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.9	1.4	0.5	0.1	778	11	404128	404128	0.000%	60
21_955-9.fna	Bacillus anthracis	2021-10-01	Spain	Garbayuela	Bos taurus	Farm	A.Br.11.ESPc	PRJNA514245	SAMN33005107	GCA_029692405.1	Contig	164	60	39.0586	-5.0072	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.4	1.9	0.5	0.1	778	11	404128	404128	0.000%	60
2110.fna	Bacillus anthracis	1998-XX-XX	South Africa	Northern Cape Province	Ovis aries	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614342	GCA_009669065.1	Scaffold	38	1123	-29.573402	21.2051361	99.43	0.82	clinical	NCBI	bacillus_odb12	97.9	97.3	0.6	1.4	0.6	778	11	8472	8311	0.031%	1092
2949_1D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Ovis sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614331	GCA_009669235.1	Contig	145	470	-29.573402	21.2051361	99.43	0.32	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	28406	28406	0.000%	470
2991_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Ovis sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614332	GCA_009669225.1	Contig	199	378	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	38588	38588	0.000%	378
3-IZSLT.fna	Bacillus anthracis	20XX-XX-XX	Italy	Italy			A.Br.140_(L1)	PRJNA695105	SAMN18241468	GCA_022221205.1	Complete	61	3	42.6384261	12.674297	99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5229081	5229081	0.000%	3
3000496651.fna	Bacillus anthracis	2001-XX-XX	USA	Texas	Bos Taurus 		A.Br.001	PRJNA514245	SAMN08557808	GCA_029694565.1	Contig	99	41	31.2638905	-98.5456116	99.43	0.86	clinical	NCBI	bacillus_odb12	99.2	97.2	2.1	0.6	0.1	778	11	729747	729747	0.000%	41
3000496652.fna	Bacillus anthracis	2008-XX-XX	USA	Montana	Bos Taurus 		A.Br.009_018_(WNA)	PRJNA514245	SAMN08557809	GCA_029694585.1	Contig	84	42	47.3752671	-109.638757	99.43	0.86	clinical	NCBI	bacillus_odb12	99.4	97.3	2.1	0.5	0.1	778	11	601321	601321	0.000%	42
3003787874.fna	Bacillus anthracis	2022-XX-XX	USA	Virgin Islands	Homo sapiens	blood	A.Br.150		SAMN43423730	GCA_041900855.1	Contig	119.3	33						NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	564430	564430	0.000%	33
3008_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Bos sp.	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614333	GCA_009669275.1	Contig	155	442	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	34402	34402	0.000%	442
3016.fna	Bacillus anthracis	1936-XX-XX	Iran	Iran	Bos taurus		A.Br.162	PRJNA695105	SAMN13164732	GCA_022220545.1	Complete	58	2	32.6475314	54.5643516	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	5228841	5228841	0.000%	2
3122_2B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Oryx gazella	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614334	GCA_009669265.1	Contig	168	431	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	34419	34419	0.000%	431
3132_1B.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614335	GCA_009669205.1	Scaffold	201	198	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	98947	84103	0.032%	170
3154.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA178572	SAMN02470705	GCA_000319695.1	Contig	235	3	42.6073975	25.4856617	99.43	0.29	environment	NCBI	bacillus_odb12	99.2	98.6	0.6	0.5	0.3	778	11	3043655	3043655	0.000%	3
3166.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria		Soil	A.Br.130	PRJNA178573	SAMN02470706	GCA_000319715.1	Contig	201	5	42.6073975	25.4856617	99.43	0.29	environment	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	4480662	4480662	0.000%	5
3186.fna	Bacillus anthracis	1960-XX-XX	Bulgaria	Bulgaria	Bos sp.		A.Br.109									99.43	1.5	unknown	this study	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	1162040	1162040	0.005%	315
3275_2D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province		Soil	A.Br.101	PRJNA510736	SAMN10614336	GCA_009669165.1	Contig	267	751	-29.573402	21.2051361	99.41	0.51	environment	NCBI	bacillus_odb12	98.7	97.9	0.8	1.2	0.1	778	11	14738	14738	0.000%	751
34_738_.fna	Bacillus anthracis	1972-05-XX	Kazakhstan	Kazakhstan	Bos taurus	cadaver		DAPHRH01	SAMN37179236	GCA_031312035.1	Contig	290	112					clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.6	0.1	778	11	5227591	1179330	0.919%	3
34F2_Sterne.fna	Bacillus anthracis	20XX-XX-XX					A.Br.077	PRJNA399155	SAMN07523112	GCA_002525715.1	Contig	160	69			99.43	0.29	unknown	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	331476	331476	0.000%	69
35.fna	Bacillus anthracis	1991-10-20	Turkey	Yozgat	Homo sapiens	Skin	A.Br.164	PRJNA236040	SAMN03010432	GCA_000833275.1	Complete	324	3	39.7152422	35.170998	99.43	0.29	clinical	NCBI	bacillus_odb12	98.8	98.1	0.8	1	0.1	778	11	5228731	5228725	0.000%	3
3517_1C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614337	GCA_009669125.1	Contig	166	121	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	203477	203477	0.000%	121
3517_2C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614338	GCA_009669145.1	Contig	137	1194	-29.573402	21.2051361	98.85	0.86	clinical	NCBI	bacillus_odb12	98.1	97.4	0.6	1.5	0.4	778	11	9613	9613	0.000%	1194
3618_2D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Soil	B.Br.001	PRJNA510736	SAMN10614346	GCA_009669005.1	Contig	178	72	-29.573402	21.2051361	99.43	0.36	clinical	NCBI	bacillus_odb12	99.2	98.5	0.8	0.4	0.4	778	11	154041	154041	0.000%	72
3631_3D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614340	GCA_009669105.1	Contig	189	598	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.1	98.3	0.8	0.6	0.3	778	11	22854	22854	0.000%	598
3631_4C.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614339	GCA_009669135.1	Contig	187	385	-29.573402	21.2051361	99.43	0.29	clinical	NCBI	bacillus_odb12	99.4	98.6	0.8	0.5	0.1	778	11	35768	35768	0.000%	385
3631_8D.fna	Bacillus anthracis	2009-05-10	South Africa	Northern Cape Province	Tragelaphus strepsiceros	Ear Tissue	A.Br.101	PRJNA510736	SAMN10614341	GCA_009669045.1	Contig	300	882	-29.573402	21.2051361	99.43	0.39	clinical	NCBI	bacillus_odb12	98.2	97.4	0.8	1.2	0.6	778	11	14274	14274	0.000%	882
